object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,contents,evenodd,fill,fontname,linewidth,non_stroking_color,points,pts,size,stroke,stroking_color,text,title,upright,uri
char,2,172.05259999999998,176.22259999999997,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,4.1699999999999875,15.0,0.278,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],I,,1,
char,2,176.2226,184.8326,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.610000000000014,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],n,,1,
char,2,184.8326,190.11260000000001,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,5.280000000000001,15.0,0.352,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],f,,1,
char,2,190.1126,199.2626,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,9.150000000000006,15.0,0.61,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],o,,1,
char,2,199.26259999999996,205.09759999999997,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,5.835000000000008,15.0,0.389,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],r,,1,
char,2,205.3646,218.4146,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,13.050000000000011,15.0,0.87,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],m,,1,
char,2,218.41459999999995,226.46959999999996,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.055000000000007,15.0,0.537,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],a,,1,
char,2,226.46959999999996,232.30459999999997,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,5.835000000000008,15.0,0.389,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],t,,1,
char,2,232.30459999999994,236.20459999999994,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,3.9000000000000057,15.0,0.26,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],i,,1,
char,2,236.20459999999997,245.35459999999998,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,9.150000000000006,15.0,0.61,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],o,,1,
